block,buildingaddress,councildistrict,location,lot,neighborhood,noticedate,policedistrict,referenceid
0219,9 S SCHROEDER ST,9,"(39.28838258, -76.63356205)",026,Hollins Market,2018-10-08T04:00:00Z,Southern,0219 026 100818
0219,16 S POPPLETON ST,9,"(39.28819263, -76.6324392)",047,Hollins Market,2018-12-28T05:00:00Z,Southern,0219 047 122818
0222,2131 HOLLINS ST,9,"(39.28678649, -76.65080677)",016,Boyd-Booth,2018-10-31T04:00:00Z,Southwestern,0222 016 103118
0222,2140 BOYD ST,9,"(39.2865647, -76.65120327)",042,Boyd-Booth,2018-09-25T04:00:00Z,Southwestern,0222 042 092518
0223,2004 FREDERICK AVE,9,"(39.28632984, -76.64891536)",044,Boyd-Booth,2019-01-06T05:00:00Z,Southwestern,0223 044 010619
0226,1923 FREDERICK AVE,9,"(39.28635845, -76.6474881)",021,Carrollton Ridge,2018-11-16T05:00:00Z,Southern,0226 021 111618
0228,1731 HOLLINS ST,9,"(39.28706164, -76.64484812)",016,Union Square,2019-01-07T05:00:00Z,Southern,0228 016 010719
0228,47 S FULTON AVE,9,"(39.28657166, -76.64482363)",026,Union Square,2019-01-23T05:00:00Z,Southern,0228 026 012319
0233,1230 W LOMBARD ST,9,"(39.2867633, -76.63760593)",032,Hollins Market,2018-10-02T04:00:00Z,Southern,0233 032 100218
0233,1206 W LOMBARD ST,9,"(39.28677023, -76.63692833)",044,Hollins Market,2019-01-06T05:00:00Z,Southern,0233 044 010619
0233,60 S CARROLLTON AVE,9,"(39.28715817, -76.63691765)",056,Hollins Market,2019-01-12T05:00:00Z,Southern,0233 056 011219
0233,48 S CARROLLTON AVE,9,"(39.28736618, -76.63688499)",062,Hollins Market,2019-01-10T05:00:00Z,Southern,0233 062 011019
0234,1133 HOLLINS ST,9,"(39.28720914, -76.6362276)",017,Hollins Market,2018-10-19T04:00:00Z,Southern,0234 017 101918
0234,1135 HOLLINS ST,9,"(39.28720704, -76.63627299)",018,Hollins Market,2019-01-12T05:00:00Z,Southern,0234 018 011219
0234,1137 HOLLINS ST,9,"(39.28720509, -76.63631806)",019,Hollins Market,2018-12-09T05:00:00Z,Southern,0234 019 120918
0235,1010 W LOMBARD ST,9,"(39.2869293, -76.6340639)",052,Hollins Market,2018-09-20T04:00:00Z,Southern,0235 052 092018
0235,1023 BOYD ST,9,"(39.28709468, -76.63455998)",092,Hollins Market,2019-01-06T05:00:00Z,Southern,0235 092 010619
0239,213 FURROW ST,9,"(39.28435698, -76.65179769)",020,Carrollton Ridge,2018-10-31T04:00:00Z,Southwestern,0239 020 103118
0239,212 FURROW ST,9,"(39.28434196, -76.65219245)",032,Carrollton Ridge,2019-01-08T05:00:00Z,Southwestern,0239 032 010819
0242,1916 LEMMON ST,9,"(39.28574777, -76.64750243)",108,Carrollton Ridge,2018-12-08T05:00:00Z,Southern,0242 108 120818
0244,107 S FULTON AVE,9,"(39.28584009, -76.64480756)",016,Union Square,2019-01-22T05:00:00Z,Southern,0244 016 012219
0244,119 S FULTON AVE,9,"(39.28553273, -76.64480995)",022,Union Square,2019-01-27T05:00:00Z,Southern,0244 022 012719
0244,1718 LEMMON ST,9,"(39.28583015, -76.64450438)",069,Union Square,2018-10-08T04:00:00Z,Southern,0244 069 100818
0244,1716 LEMMON ST,9,"(39.28583282, -76.64444501)",070,Union Square,2018-09-28T04:00:00Z,Southern,0244 070 092818
0245,1607 W LOMBARD ST,9,"(39.28611274, -76.64286682)",003,Union Square,2019-01-07T05:00:00Z,Southern,0245 003 010719
0246,1511 W LOMBARD ST,9,"(39.2860951, -76.64137711)",007,Union Square,2019-01-07T05:00:00Z,Southern,0246 007 010719
0246,1515 W LOMBARD ST,9,"(39.28608962, -76.6414995)",009,Union Square,2019-01-07T05:00:00Z,Southern,0246 009 010719
0247,1422 W PRATT ST,9,"(39.28565792, -76.64023211)",025,Union Square,2019-01-12T05:00:00Z,Southern,0247 025 011219
0247,1416 W PRATT ST,9,"(39.28566491, -76.64007978)",028,Union Square,2019-01-08T05:00:00Z,Southern,0247 028 010819
0247,110 S CALHOUN ST,9,"(39.2860306, -76.63966743)",044,Union Square,2018-09-11T04:00:00Z,Southern,0247 044 091118
